"","ENF_ACTION_ISSUE_DATE","total"
"1",1997-09-08,27
"2",2000-12-01,26
"3",2001-07-16,5
"4",2001-08-03,1
"5",2001-10-04,28
"6",2002-10-10,18
"7",2003-08-13,10
"8",2005-04-22,3
"9",2005-08-03,10
"10",2005-09-29,7
"11",2006-02-08,1
"12",2006-02-16,1
"13",2006-03-01,22
"14",2006-03-09,23
"15",2006-05-29,9
"16",2006-06-01,24
"17",2006-06-12,9
"18",2006-11-08,5
"19",2007-01-24,13
"20",2007-03-23,13
"21",2007-05-30,19
"22",2007-08-13,8
"23",2007-11-26,8
"24",2008-02-05,5
"25",2008-02-14,10
"26",2008-03-27,8
"27",2008-04-29,7
"28",2008-05-06,1
"29",2008-05-08,13
"30",2008-05-15,18
"31",2008-06-06,2
"32",2008-06-20,12
"33",2008-07-11,20
"34",2008-07-31,1
"35",2008-10-10,9
"36",2008-10-16,5
"37",2008-10-24,3
"38",2008-10-28,9
"39",2008-10-29,77
"40",2008-10-30,53
"41",2008-11-03,9
"42",2008-11-05,3
"43",2008-11-18,8
"44",2008-11-30,10
"45",2008-12-15,3
"46",2008-12-18,23
"47",2009-01-02,14
"48",2009-01-05,82
"49",2009-01-06,4
"50",2009-01-15,27
"51",2009-01-16,44
"52",2009-01-21,25
"53",2009-01-22,14
"54",2009-01-23,287
"55",2009-01-26,24
"56",2009-01-28,10
"57",2009-02-03,21
"58",2009-02-04,28
"59",2009-02-09,5
"60",2009-02-13,8
"61",2009-02-24,27
"62",2009-02-26,10
"63",2009-02-28,2
"64",2009-04-10,10
"65",2009-05-13,23
"66",2009-05-19,27
"67",2009-05-27,5
"68",2009-06-16,9
"69",2009-08-03,2
"70",2009-08-19,17
"71",2009-09-08,8
"72",2009-10-06,21
"73",2009-12-21,3
"74",2009-12-23,2
"75",2010-03-03,28
"76",2010-03-04,13
"77",2010-03-19,50
"78",2010-04-15,2
"79",2010-04-27,13
"80",2010-07-23,1
"81",2010-08-03,4
"82",2010-08-18,3
"83",2010-09-14,28
"84",2010-09-15,3
